disease,symptom_1,symptom_2,symptom_3,symptom_4
Migraine,nausea,sensitivity to light,headache,
Gastroenteritis,vomiting,fever,diarrhea,nausea
Pneumonia,fatigue,chills,cough,
Anemia,weakness,,pale skin,
Gastroenteritis,,muscle ache,headache,
Allergy,,sneezing,rash,
Gastroenteritis,stomach pain,diarrhea,muscle ache,nausea
Dengue,rash,,,high fever
COVID-19,,muscle pain,difficulty breathing,cough
Dengue,muscle pain,vomiting,,
Viral Fever,,,headache,sweating
Hypertension,nosebleeds,blurred vision,,shortness of breath
Gastroenteritis,headache,muscle ache,,
Diabetes,unexplained weight loss,frequent urination,fatigue,increased thirst
Hypertension,chest pain,shortness of breath,blurred vision,headache
Acid Peptic Disease,,stomach pain,,nausea
Typhoid,headache,stomach pain,,rash
Gastroenteritis,fever,diarrhea,stomach pain,nausea
Hypertension,blurred vision,dizziness,,chest pain
COVID-19,muscle pain,fatigue,difficulty breathing,cough
Anemia,weakness,pale skin,cold hands and feet,fatigue
Anemia,,pale skin,cold hands and feet,dizziness
Asthma,difficulty breathing,,chest pain,fatigue
Pneumonia,,,fatigue,cough
Typhoid,diarrhea,,weakness,
Acid Peptic Disease,,nausea,heartburn,indigestion
Viral Fever,,frequent urination,chills,fatigue
Pneumonia,chills,difficulty breathing,fever,
Diabetes,extreme hunger,frequent urination,,unexplained weight loss
Hypertension,headache,shortness of breath,blurred vision,chest pain
Common Cold,fatigue,cough,,congestion
COVID-19,difficulty breathing,loss of taste,fatigue,cough
Diabetes,unexplained weight loss,,frequent urination,extreme hunger
Allergy,shortness of breath,rash,cough,
Dengue,,rash,high fever,joint pain
Gastroenteritis,diarrhea,stomach pain,headache,nausea
Migraine,dizziness,vomiting,blurred vision,sensitivity to light
Diabetes,unexplained weight loss,,blurred vision,increased thirst
Anemia,chest pain,fatigue,cold hands and feet,pale skin
Migraine,,sensitivity to sound,,nausea
COVID-19,cough,,loss of taste,difficulty breathing
Malaria,muscle pain,vomiting,sweating,headache
Typhoid,chills,stomach pain,high fever,headache
Migraine,dizziness,,headache,
COVID-19,cough,loss of smell,,muscle pain
Gastroenteritis,fever,headache,diarrhea,muscle ache
Allergy,itchy eyes,cough,shortness of breath,runny nose
Common Cold,,headache,fatigue,sneezing
Anemia,weakness,headache,fatigue,dizziness
Asthma,chest pain,cough,fatigue,fever
Migraine,dizziness,blurred vision,increased thirst,vomiting
Acid Peptic Disease,nausea,,loss of appetite,stomach pain
COVID-19,fever,,loss of smell,muscle pain
Allergy,,sneezing,rash,runny nose
Pneumonia,difficulty breathing,,chills,
Typhoid,high fever,,headache,stomach pain
Asthma,fatigue,cough,wheezing,shortness of breath
Common Cold,sneezing,,,congestion
Typhoid,headache,diarrhea,congestion,loss of appetite
Pneumonia,,fever,difficulty breathing,fatigue
Malaria,fever,muscle pain,sweating,vomiting
Allergy,itchy eyes,sneezing,runny nose,shortness of breath
COVID-19,fatigue,difficulty breathing,cough,fever
Allergy,,,shortness of breath,rash
Malaria,chills,sweating,fever,muscle pain
Hypertension,,,headache,shortness of breath
Diabetes,nausea,unexplained weight loss,,frequent urination
Hypertension,shortness of breath,nosebleeds,chest pain,sensitivity to light
COVID-19,difficulty breathing,loss of smell,,
Asthma,cold hands and feet,cough,,chest pain
Allergy,cough,,,sneezing
Pneumonia,chest pain,fatigue,,difficulty breathing
Acid Peptic Disease,,stomach pain,nausea,heartburn
Anemia,cold hands and feet,headache,,
Migraine,sensitivity to light,vomiting,blurred vision,sensitivity to sound
Hypertension,chest pain,headache,,
Typhoid,headache,weakness,loss of appetite,stomach pain
COVID-19,,difficulty breathing,fatigue,
Diabetes,fatigue,,blurred vision,joint pain
Allergy,rash,loss of smell,shortness of breath,sneezing
Dengue,,muscle pain,rash,joint pain
Common Cold,cough,sore throat,runny nose,congestion
Allergy,cough,runny nose,rash,sneezing
Asthma,fatigue,wheezing,cough,
Typhoid,rash,stomach pain,,
Common Cold,sneezing,sore throat,runny nose,cough
Malaria,sweating,vomiting,nausea,headache
Acid Peptic Disease,indigestion,vomiting,loss of appetite,heartburn
Gastroenteritis,muscle ache,,nausea,
Acid Peptic Disease,stomach pain,indigestion,,vomiting
Typhoid,loss of appetite,rash,headache,
Pneumonia,fatigue,chills,difficulty breathing,cough
Anemia,weakness,pale skin,dizziness,cold hands and feet
Typhoid,high fever,stomach pain,loss of appetite,weakness
Anemia,,weakness,,chest pain
Migraine,,,dizziness,headache
Common Cold,sore throat,cough,,sneezing
Allergy,,shortness of breath,itchy eyes,
Pneumonia,fever,sweating,chest pain,difficulty breathing
Asthma,cough,difficulty breathing,,fatigue
Migraine,sensitivity to light,headache,sensitivity to sound,blurred vision
Malaria,headache,fever,,muscle pain
Dengue,nausea,rash,joint pain,high fever
Common Cold,sore throat,headache,congestion,cough
Viral Fever,mild cough,fever,,sweating
Common Cold,,runny nose,fatigue,
Common Cold,,,fatigue,runny nose
Hypertension,shortness of breath,dizziness,,blurred vision
Allergy,cough,itchy eyes,rash,
Migraine,sensitivity to sound,nausea,sensitivity to light,vomiting
Anemia,pale skin,dizziness,headache,weakness
Allergy,shortness of breath,,sneezing,runny nose
Allergy,runny nose,,,itchy eyes
COVID-19,,loss of smell,,cough
Malaria,headache,fever,vomiting,
Hypertension,headache,,dizziness,
Gastroenteritis,headache,muscle ache,vomiting,fever
Viral Fever,body ache,headache,sweating,fatigue
Gastroenteritis,nausea,fever,diarrhea,muscle ache
Viral Fever,loss of smell,body ache,,fatigue
COVID-19,,loss of smell,muscle pain,difficulty breathing
Pneumonia,,difficulty breathing,,chills
Anemia,pale skin,chest pain,,fatigue
Allergy,rash,sneezing,,
Asthma,cough,,fatigue,chest pain
Hypertension,dizziness,chest pain,blurred vision,nosebleeds
Viral Fever,loss of taste,headache,body ache,
Dengue,,,muscle pain,severe headache
Viral Fever,,chills,,fatigue
Common Cold,,fatigue,congestion,headache
Typhoid,stomach pain,high fever,,loss of appetite
Gastroenteritis,headache,stomach pain,nausea,vomiting
Typhoid,rash,,diarrhea,high fever
Typhoid,weakness,high fever,,stomach pain
Migraine,headache,vomiting,sensitivity to sound,blurred vision
Allergy,,itchy eyes,rash,
Malaria,fever,chills,vomiting,headache
Malaria,sweating,headache,fever,
Acid Peptic Disease,loss of appetite,stomach pain,heartburn,
Acid Peptic Disease,indigestion,heartburn,,stomach pain
Anemia,,,weakness,fatigue
Malaria,sweating,vomiting,headache,
Hypertension,blurred vision,dizziness,,chest pain
COVID-19,cough,fever,loss of taste,fatigue
Dengue,nausea,,fever,joint pain
Gastroenteritis,stomach pain,vomiting,fever,nausea
Migraine,,dizziness,sensitivity to sound,
Acid Peptic Disease,heartburn,,indigestion,loss of appetite
Allergy,itchy eyes,,rash,sneezing
Common Cold,congestion,,sneezing,
Gastroenteritis,fever,nausea,,headache
Viral Fever,,chills,body ache,
Diabetes,unexplained weight loss,fatigue,blurred vision,
Typhoid,,,diarrhea,stomach pain
Allergy,runny nose,cough,,itchy eyes
COVID-19,,fatigue,difficulty breathing,
Anemia,,,chest pain,weakness
Acid Peptic Disease,vomiting,loss of appetite,stomach pain,heartburn
Diabetes,extreme hunger,increased thirst,frequent urination,unexplained weight loss
Malaria,,headache,,nausea
COVID-19,muscle pain,difficulty breathing,,
Dengue,vomiting,severe headache,,rash
Allergy,,rash,runny nose,cough
Asthma,body ache,chest pain,cough,
Pneumonia,,fatigue,chills,difficulty breathing
Allergy,sneezing,runny nose,rash,shortness of breath
Malaria,muscle pain,headache,,vomiting
Diabetes,extreme hunger,increased thirst,,
COVID-19,,loss of smell,fever,
Gastroenteritis,,fever,vomiting,
Malaria,sweating,,headache,
Allergy,shortness of breath,sneezing,rash,runny nose
Viral Fever,fatigue,sweating,,
Pneumonia,sweating,difficulty breathing,,
Typhoid,rash,diarrhea,weakness,loss of appetite
Anemia,,,fatigue,headache
Pneumonia,sweating,chest pain,,
Dengue,nausea,joint pain,,
Gastroenteritis,,diarrhea,nausea,
Typhoid,,stomach pain,,weakness
Allergy,,cough,,itchy eyes
Gastroenteritis,,,stomach pain,diarrhea
Acid Peptic Disease,vomiting,loss of appetite,,heartburn
Dengue,severe headache,joint pain,rash,vomiting
Acid Peptic Disease,indigestion,stomach pain,nausea,loss of appetite
Asthma,,,difficulty breathing,chest pain
Hypertension,,headache,nosebleeds,dizziness
Pneumonia,,,chills,fatigue
Typhoid,,,rash,diarrhea
Viral Fever,chills,,,body ache
Gastroenteritis,vomiting,,,headache
Migraine,blurred vision,,,nausea
Anemia,,pale skin,dizziness,
Pneumonia,cough,,difficulty breathing,chest pain
Hypertension,shortness of breath,,blurred vision,headache
Anemia,fatigue,weakness,chest pain,dizziness
COVID-19,difficulty breathing,,cough,muscle pain
Gastroenteritis,,,muscle ache,fever
Dengue,vomiting,nausea,muscle pain,severe headache
Malaria,sweating,headache,muscle pain,chills
Hypertension,nosebleeds,,blurred vision,
Asthma,shortness of breath,difficulty breathing,fatigue,chest pain
Asthma,fatigue,,cough,difficulty breathing
Diabetes,frequent urination,,difficulty breathing,fatigue
Diabetes,,dizziness,increased thirst,blurred vision
Gastroenteritis,muscle ache,diarrhea,nausea,vomiting
Diabetes,,fatigue,unexplained weight loss,indigestion
Pneumonia,,fatigue,cough,chest pain
Diabetes,extreme hunger,frequent urination,increased thirst,unexplained weight loss
Dengue,severe headache,high fever,joint pain,vomiting
Allergy,rash,,runny nose,itchy eyes
COVID-19,cough,fever,loss of smell,fatigue
COVID-19,loss of smell,,cough,muscle pain
Allergy,rash,indigestion,,shortness of breath
Pneumonia,,cough,chest pain,fatigue
Migraine,,dizziness,headache,
Migraine,blurred vision,,dizziness,vomiting
COVID-19,fever,cough,difficulty breathing,loss of smell
Malaria,,vomiting,chills,
Hypertension,nosebleeds,blurred vision,shortness of breath,dizziness
Acid Peptic Disease,,,loss of appetite,stomach pain
Anemia,headache,,fatigue,weakness
Gastroenteritis,vomiting,nausea,fever,diarrhea
Hypertension,chest pain,nosebleeds,blurred vision,
Typhoid,loss of appetite,headache,,
Diabetes,,blurred vision,,extreme hunger
Anemia,,weakness,cold hands and feet,pale skin
Gastroenteritis,nausea,fever,,vomiting
Hypertension,nosebleeds,dizziness,headache,shortness of breath
Hypertension,,shortness of breath,nosebleeds,chest pain
Dengue,,nausea,,severe headache
Asthma,,cough,difficulty breathing,wheezing
Anemia,fatigue,weakness,chest pain,dizziness
Hypertension,blurred vision,,headache,nosebleeds
Asthma,cough,difficulty breathing,,chest pain
Typhoid,headache,loss of appetite,,high fever
Gastroenteritis,,,headache,stomach pain
Viral Fever,,,mild cough,body ache
COVID-19,muscle pain,,fever,
Common Cold,,congestion,,fatigue
Malaria,headache,fever,,vomiting
Viral Fever,headache,,sweating,fever
Diabetes,fatigue,,,frequent urination
Anemia,,chest pain,vomiting,weakness
Gastroenteritis,,muscle ache,stomach pain,nausea
Diabetes,,blurred vision,extreme hunger,increased thirst
Asthma,wheezing,fatigue,,
COVID-19,,,fatigue,muscle pain
Hypertension,nosebleeds,,dizziness,headache
Pneumonia,fatigue,sweating,,
Dengue,severe headache,vomiting,,
Gastroenteritis,vomiting,,headache,nausea
Viral Fever,fever,fatigue,chills,mild cough
COVID-19,,loss of taste,,fever
Gastroenteritis,diarrhea,headache,stomach pain,muscle ache
Acid Peptic Disease,indigestion,,,nausea
Migraine,dizziness,headache,blurred vision,
COVID-19,fatigue,cough,loss of taste,loss of smell
Anemia,,chest pain,headache,
Viral Fever,chills,body ache,headache,fatigue
Gastroenteritis,,vomiting,,stomach pain
Typhoid,,headache,,stomach pain
Migraine,sensitivity to light,headache,vomiting,dizziness
Typhoid,stomach pain,rash,headache,high fever
Diabetes,frequent urination,,blurred vision,
COVID-19,muscle pain,loss of smell,fever,loss of taste
Acid Peptic Disease,,indigestion,,vomiting
Common Cold,fatigue,,,sneezing
Allergy,,runny nose,rash,cough
Diabetes,increased thirst,blurred vision,fatigue,unexplained weight loss
Hypertension,dizziness,chest pain,,nosebleeds
Allergy,shortness of breath,runny nose,sneezing,rash
Viral Fever,chills,fever,headache,fatigue
Asthma,,chest pain,shortness of breath,difficulty breathing
Acid Peptic Disease,vomiting,indigestion,heartburn,loss of appetite
Malaria,chills,muscle pain,headache,sweating
Allergy,sneezing,cough,,shortness of breath
Hypertension,,shortness of breath,nosebleeds,dizziness
Common Cold,headache,fatigue,,sneezing
Anemia,weakness,headache,cold hands and feet,fatigue
Pneumonia,,fever,fatigue,difficulty breathing
Allergy,,itchy eyes,,shortness of breath
Viral Fever,headache,mild cough,body ache,fever
COVID-19,,cough,difficulty breathing,
Hypertension,chest pain,nosebleeds,,
Typhoid,headache,stomach pain,rash,diarrhea
Migraine,,nausea,dizziness,sensitivity to light
Migraine,nausea,,headache,
Viral Fever,,,mild cough,fatigue
Allergy,shortness of breath,rash,cough,runny nose
Migraine,blurred vision,,,nausea
Hypertension,blurred vision,,dizziness,headache
Migraine,headache,dizziness,sensitivity to light,nausea
Hypertension,,blurred vision,dizziness,
Acid Peptic Disease,,nausea,loss of appetite,
Migraine,dizziness,blurred vision,headache,sensitivity to light
Pneumonia,,fatigue,fever,chest pain
Malaria,muscle pain,chills,sweating,headache
Gastroenteritis,,headache,muscle ache,
Typhoid,weakness,,high fever,rash
Allergy,sneezing,cough,itchy eyes,runny nose
Gastroenteritis,fever,muscle ache,stomach pain,diarrhea
Malaria,vomiting,,fever,muscle pain
Asthma,cough,,fatigue,shortness of breath
Allergy,,,cough,runny nose
Pneumonia,,cough,difficulty breathing,
Acid Peptic Disease,,vomiting,heartburn,nausea
Gastroenteritis,fever,nausea,,stomach pain
Hypertension,dizziness,nausea,,headache
Pneumonia,sweating,,cough,
COVID-19,loss of smell,,fever,
Diabetes,unexplained weight loss,,fatigue,frequent urination
Dengue,,nausea,,severe headache
COVID-19,,,muscle pain,fever
Dengue,,,high fever,joint pain
COVID-19,loss of taste,difficulty breathing,muscle pain,loss of smell
Acid Peptic Disease,,loss of appetite,vomiting,nausea
Malaria,muscle pain,nausea,,
Pneumonia,difficulty breathing,chest pain,fatigue,fever
Hypertension,nosebleeds,shortness of breath,headache,
Hypertension,headache,nosebleeds,shortness of breath,
Gastroenteritis,fever,,vomiting,nausea
COVID-19,difficulty breathing,fever,loss of smell,cough
Hypertension,shortness of breath,nosebleeds,blurred vision,
Gastroenteritis,,fever,diarrhea,
Asthma,,,wheezing,shortness of breath
Common Cold,cough,congestion,fatigue,runny nose
Acid Peptic Disease,stomach pain,loss of appetite,,nausea
Typhoid,loss of appetite,,diarrhea,weakness
Common Cold,headache,,sore throat,congestion
Common Cold,runny nose,cough,,sneezing
Hypertension,chest pain,shortness of breath,headache,
Asthma,,cough,difficulty breathing,
Malaria,nausea,vomiting,sweating,chills
Acid Peptic Disease,,,nausea,indigestion
Common Cold,,congestion,runny nose,cough
Acid Peptic Disease,stomach pain,indigestion,heartburn,vomiting
Viral Fever,sweating,fever,fatigue,headache
Malaria,vomiting,sweating,nausea,fever
Malaria,fever,,muscle pain,
Allergy,,,sneezing,itchy eyes
Common Cold,cough,fatigue,sneezing,congestion
Migraine,sensitivity to sound,vomiting,blurred vision,sensitivity to light
Diabetes,extreme hunger,unexplained weight loss,fatigue,blurred vision
Diabetes,,fatigue,,frequent urination
Pneumonia,sweating,cough,chest pain,difficulty breathing
Asthma,difficulty breathing,,chest pain,cough
Pneumonia,,difficulty breathing,,sweating
Diabetes,unexplained weight loss,frequent urination,,extreme hunger
Common Cold,runny nose,congestion,fatigue,
Diabetes,,blurred vision,frequent urination,extreme hunger
Common Cold,runny nose,cough,congestion,fatigue
Gastroenteritis,fever,,headache,stomach pain
Hypertension,dizziness,blurred vision,nosebleeds,
Diabetes,frequent urination,fatigue,unexplained weight loss,increased thirst
Acid Peptic Disease,indigestion,nausea,vomiting,
Acid Peptic Disease,nausea,stomach pain,,heartburn
Migraine,,sensitivity to light,,headache
Acid Peptic Disease,,heartburn,indigestion,nausea
Gastroenteritis,nausea,fever,,
Acid Peptic Disease,indigestion,,,heartburn
Hypertension,,blurred vision,shortness of breath,nosebleeds
COVID-19,fever,muscle pain,loss of taste,cough
Acid Peptic Disease,vomiting,loss of appetite,,
Asthma,fatigue,,shortness of breath,wheezing
Dengue,,severe headache,,vomiting
Anemia,fatigue,cold hands and feet,,
Allergy,sneezing,rash,,runny nose
Pneumonia,chest pain,chills,,
COVID-19,difficulty breathing,cough,loss of smell,fever
COVID-19,muscle pain,difficulty breathing,,
Pneumonia,,chest pain,fever,fatigue
Dengue,nausea,high fever,stomach pain,severe headache
Typhoid,stomach pain,loss of appetite,weakness,
Pneumonia,fever,fatigue,,
Viral Fever,sweating,chills,fatigue,headache
Diabetes,increased thirst,unexplained weight loss,blurred vision,fatigue
Typhoid,headache,diarrhea,stomach pain,weakness
Gastroenteritis,diarrhea,stomach pain,nausea,headache
Common Cold,sore throat,runny nose,cough,headache
Common Cold,,sneezing,,cough
Migraine,dizziness,sensitivity to light,headache,vomiting
Asthma,difficulty breathing,shortness of breath,fatigue,cough
Allergy,,itchy eyes,sneezing,
Dengue,rash,,muscle pain,high fever
